ID,ID_IN_BOOK,PROVERB,LANGUAGE,EXPLANATION (ORIGINAL LANGUAGE),EXPLANATION (ENGLISH),CATEGORY,
ZH_0034,B,扁担没扎，两头失塌,ZH,比喻两边都落空，一无所获。,Both sides end up empty — nothing is gained at all.,Social Military Politics,
ZH_0035,B,便重不便轻,ZH,意思是有些人适合做重大的事情，而不适合承担鸡毛蒜皮小事。,Some people are suited for handling important matters but not for dealing with trivial affairs.,Social Military Politics,
ZH_0036,B,兵败如山倒，胜者似潮来,ZH,部队溃败好比山倒塌。指部队一旦溃败，便不可收拾如潮水一般涌上来。意为事情不可逆转。,"A defeated army collapses like a mountain falling, and the victors surge forward like a tide. Once a rout begins, it is irreversible.",Social Military Politics,
ZH_0037,B,兵不厌诈，将贵知机,ZH,指打仗时可以运用欺诈的手段来迷惑对方，指挥作战的将领贵在能及时把握有利时机作战。,"In warfare, deception may be freely employed to confuse the enemy; what is most valuable in a commanding general is the ability to seize the opportune moment in battle.",Social Military Politics,
ZH_0038,B,兵藏武库，马入华山,ZH,兵器藏进武库，军马放入华山。意思是天下太平。,Weapons are stored in the arsenal and warhorses are released onto Mount Hua. This signifies a time of peace under heaven.,Social Military Politics,
ZH_0039,B,兵出无名，事故不成,ZH,指出兵打仗，理由不正当就会吃败仗。,"When an army goes to war without a just cause, it is destined to lose.",Social Military Politics,
ZH_0040,B,兵对兵，将对将,ZH,意谓对阵或协作的双方势均力敌。,The two opposing or cooperating sides are evenly matched in strength.,Social Military Politics,
ZH_0041,B,兵多好打仗，人多好做活,ZH,兵多对作战有利，人多对干活有利。比喻人多力量大。,"More soldiers are advantageous for battle, and more hands are advantageous for work. This illustrates the power of numbers.",Social Military Politics,
ZH_0042,B,兵贵奇不贵众,ZH,用兵打仗贵在出奇制胜，而不在于人多。,"In warfare, what matters is achieving victory through surprise and ingenuity, not through sheer numbers.",Social Military Politics,
ZH_0043,B,兵贵神速,ZH,指用兵作战行动要快，才能让敌人出乎意料。泛指行事宜速，努力争取主动权。,"Military operations must be swift to catch the enemy off guard. More broadly, any undertaking should be carried out quickly to seize the initiative.",Social Military Politics,
ZH_0044,B,兵贵速，不贵久,ZH,指用兵打仗宜速战速决，不宜打持久战。,"In warfare, quick decisive battles are preferable; protracted campaigns should be avoided.",Social Military Politics,
ZH_0045,B,兵过如火烧,ZH,古时部队经过一处，就烧杀抢掠，使百姓如同蒙受一场大的火灾。,"In ancient times, whenever troops passed through an area, they would burn, kill, and plunder, leaving the common people as devastated as if they had suffered a great fire.",Social Military Politics,
ZH_0046,B,兵可百年不用，不可一日不备,ZH,军队可以长时间不打仗，但不能一天不备战。,"An army may go a long time without fighting, but it must not go a single day without being prepared for war.",Social Military Politics,
ZH_0047,B,兵来将挡，水来土掩,ZH,指如果敌人来进犯，自有将领率而战胜方则兵迎战；如果洪水袭来，自有堤坝抵挡。也指根据不同的情况，应该采取行之有效的方法。比喻不管面临何种情况，都要有相对应的应付办法。,"When the enemy comes to attack, generals will lead soldiers to meet them in battle; when floodwaters come, earthen dams will hold them back. Different situations call for different effective measures. No matter what one faces, there must always be a corresponding countermeasure.",Social Military Politics,
ZH_0048,B,兵来将迎，水来土堰,ZH,交战时，针锋相对，抵抗敌人。比喻根据具体情况采取相对应策略。,"In battle, one meets the enemy head-on in direct confrontation. This means adopting the appropriate strategy based on the specific circumstances.",Social Military Politics,
ZH_0049,B,兵来如梳，贼来如篦，匪来如剃,ZH,指古时的反动军队同盗贼 、土匪一样，抢劫、掠夺老百姓，各个凶残无比。,"In ancient times, reactionary armies were no different from bandits and outlaws — they all robbed and plundered the common people with extreme brutality.",Social Military Politics,
ZH_0050,B,兵力易聚不易分,ZH,打仗时应该集中兵力各个击破，不宜分散。,"In warfare, forces should be concentrated to defeat the enemy piecemeal, rather than being scattered.",Social Military Politics,
ZH_0051,B,兵马未动，粮草先行,ZH,在军队还没有行动之前，就得先淮备好粮食和草料。指行军作战，后勤工作得先做好。,"Before the troops move out, food and fodder must be prepared in advance. In any military campaign, logistics must be taken care of first.",Social Military Politics,
ZH_0052,B,兵是将之威，将是兵之胆,ZH,士兵勇敢善战，才能显示将领的威风，将领有谋略，善于指挥，士兵才会勇敢过人。兵松松一个，将松松一窝士兵松散只影响个人，将领松散就会影响整个部队。意思指对将领要求更要严格。,"Only when soldiers are brave and skilled in battle can the general's prestige be displayed; only when the general is strategic and adept at command will the soldiers be exceptionally courageous. A slack soldier affects only himself, but a slack general affects the entire army. This means that standards for generals must be even stricter.",Social Military Politics,
ZH_0053,B,兵随将令草随风,ZH,士兵服从将领的命令就如草随风而动一样。比喻军令如山倒，每个士兵要服从。,"Soldiers obey their general's orders just as grass bends with the wind. Military orders are absolute, and every soldier must comply.",Social Military Politics,
ZH_0054,B,兵无常势，水无常形,ZH,用兵作战没有固定的阵势，就好比水不可能有特定的形状一样。,"Military tactics have no fixed formations, just as water has no fixed shape.",Social Military Politics,
ZH_0055,B,兵无将而不动，蛇无头而不行,ZH,指士兵如果没有将领的指挥，步调不可能一致，行军打仗，就如蛇没有头无法爬行一样。比喻如果没有领头人，就办不成事情。,"Without a general's command, soldiers cannot march in unison, just as a snake without a head cannot move. Without a leader, nothing can be accomplished.",Social Military Politics,
ZH_0056,B,兵无强弱，将有巧拙,ZH,指将领的谋略直接影响军队的强弱。,The skill or lack thereof in a commander's strategy directly determines whether the army is strong or weak.,Social Military Politics,
ZH_0057,B,兵无主自乱,ZH,如果战场上没有主帅，军队就会一盘散沙。,"Without a commander on the battlefield, the army will fall into complete disarray.",Social Military Politics,
ZH_0058,B,兵行千里，不战自乏,ZH,行军千里，即使不作战，也会疲乏。,"After marching a thousand li, an army will be exhausted even without engaging in battle.",Social Military Politics,
ZH_0059,B,兵熊熊一个，将熊熊一窝,ZH,当兵的个人没本事，影响不算大，但是首领窝囊就会影响整体的战斗力。,"If an individual soldier is incompetent, the impact is limited; but if the leader is incompetent, the fighting strength of the entire force is compromised.",Social Military Politics,
ZH_0060,B,兵要练方可精，刀要磨刃才利,ZH,意思是士兵只有艰苦训练，本领才能精强，就像刀要磨砺才能锋利一个道理。,"Soldiers can master their skills only through rigorous training, just as a blade becomes sharp only through constant grinding.",Social Military Politics,
ZH_0061,B,兵有利钝，仗无常胜,ZH,武器装备有好有坏，带兵打仗不可能永远都不失败。,"Weapons and equipment vary in quality, and no army can win every single battle — there is no such thing as permanent victory.",Social Military Politics,
ZH_0062,B,兵在精而不在多，将在谋而不在勇,ZH,士兵贵在精锐，不在于数量；主将要有谋略，不能只有勇敢。,"What matters in soldiers is quality, not quantity; what matters in commanders is strategy, not mere bravery.",Social Military Politics,
ZH_0063,B,不打勤，不打懒，单打没长眼,ZH,指古代衙门里的监工既不会责罚手脚麻利的工人，也不会责罚拖泥带水的工人，而是责罚那些不会察言观色的工人。,"In ancient government workshops, the overseer would not punish the quick-handed worker, nor would he punish the slow one — he would only punish those who failed to read the situation and act accordingly.",Social Military Politics,
ZH_0064,B,不当官儿不操心，不吃俸禄不担惊,ZH,不当朝廷的官吏就不易多操心，不拿朝廷的俸禄就不必担惊受怕，提心吊胆。,"If you do not hold a government position, you need not worry about affairs of state; if you do not draw an official salary, you need not live in constant fear and anxiety.",Social Military Politics,
ZH_0065,B,不到火候不揭锅,ZH,火候：烧火的火力强弱和时间长短。指做饭烧莱时火候不够就不能开锅。比喻做事要把握好成熟的时机，不能肓目采取行动。,"""Heat level"" refers to the intensity of fire and the length of cooking time. If the heat is not right, one should not lift the lid. One must wait for the right moment before acting, rather than rushing in blindly.",Social Military Politics,
ZH_0066,B,不到西天，不知佛大小,ZH,西天：佛经中描写的阿弥陀佛居住的地方。指不到酉天就不可能知道佛是什么样。比喻不给点颜色就不知道厉害，也比喻不身临其境就不会知道事情的来龙去脉。,"The ""Western Paradise"" is described in Buddhist scriptures as the abode of Amitabha Buddha. Without going there, one cannot know what the Buddha is truly like. This means that without experiencing something firsthand, one cannot understand the full scope of a situation; it also means that some people do not appreciate the gravity of a situation until they are shown.",Social Military Politics,
ZH_0067,B,不管白猫黑猫，抓住老鼠就是好猫,ZH,意思是不管什么样的猫，能抓住老鼠的就是好猫。比喻不管使用什么样的方法，只要能达到最终目的就是好方法。,It does not matter what kind of cat it is — any cat that catches mice is a good cat. It does not matter what method is used — any method that achieves the desired result is a good method.,Social Military Politics,
ZH_0068,B,不厚其栋，不能任重,ZH,指只有粗大结实的栋粱，才能承受得住屋架上的沉重压力。比喻只有优秀的人，才能担负起治理国家的重任。,Only a thick and sturdy ridgepole can bear the heavy weight of a roof structure. Only truly capable people can shoulder the great responsibility of governing a nation.,Social Military Politics,
ZH_0069,B,不会做饭的看锅，会做饭的看火,ZH,火：火候，指有利的时机。意思指不善于做饭的人总是瞅着锅里的东酉，会做饭的人却总将注意力放在火候上。比喻会办事的人总是善于把握时机。,"""Fire"" here means the heat level, referring to favorable timing. An unskilled cook keeps watching what is in the pot, while a skilled cook keeps watching the fire. A capable person is always adept at seizing the right opportunity.",Social Military Politics,
ZH_0070,B,不见兔子不撒鹰,ZH,狩猎的人看不见兔子，是不会把鹰放出去的。比喻没发现预期的目标，不到合适的时机，是不会采取行动的。,"A hunter does not release his hawk until he spots the rabbit. Without identifying the expected target or reaching the right moment, one does not take action.",Social Military Politics,
ZH_0071,B,不见鱼出水，不下钓鱼竿,ZH,比喻没有相当的把握，就不贸然采取行动。,"Without a reasonable degree of certainty, one does not rashly take action.",Social Military Politics,
ZH_0072,B,不见真佛，不念真经,ZH,佛：佛教徒称修行圆满的人。比喻遇不到合适的人就不能把自己的底细或真正的想法等说给别人。,"""Buddha"" here refers to one who has achieved spiritual perfection in Buddhist practice. One does not reveal one's true thoughts or innermost secrets unless in the presence of the right person.",Social Military Politics,
ZH_0073,B,不见真佛不烧香,ZH,意思是不了解对方的底细就不能随便采取行动。,"Without understanding the other party's true nature and background, one should not act rashly.",Social Military Politics,
ZH_0074,B,不怕不识货，就怕货比货,ZH,"指不了解产品不用担心，只要和同类产品进行比较,就能判断出孰优孰劣。比喻无论什么事只要经过对比，就能做出正确的判断。","Not knowing the merchandise is no cause for worry — just compare it with similar products, and you can tell which is better and which is worse. Through comparison, one can always make a sound judgment about anything.",Social Military Politics,
ZH_0075,B,不怕出山狼，就怕藏家鼠,ZH,指从山里来的狼并不可怕，可怕的是藏在家里的老鼠。比喻潜藏的恶人比明地里的恶人更阴险，更凶恶。换句话说，潜藏在内部的恶人比明地里的恶人更可怕。,"A wolf coming down from the mountains is not as frightening as a rat hiding inside one's own home. A hidden enemy within is more insidious and dangerous than an open enemy outside. In other words, internal threats are more terrifying than external ones.",Social Military Politics,
ZH_0076,B,不怕官，只怕管,ZH,"不怕官大,怕的是直接被管着指顶头上司对当事人最有约束力",One does not fear a high-ranking official so much as the person who directly supervises you. It is your immediate superior who has the most power over you.,Social Military Politics,
ZH_0077,B,不怕麻糖棍棍，就怕黄米包粽,ZH,麻糖：用麦芽糖制成的小棍状的糖果。黄米：黍子去了壳的果实，比小米稍大，黄色，煮熟后很黏。我国某些地区的风俗习惯，腊月十三要用麻糖祭灶王爷，端午节要吃用黄米和枣包成的粽子。指北方某些地方端午节后正是青黄不接的季节，穷人的日子很难过。,"""Matang"" is a stick-shaped candy made of malt sugar. ""Huangmi"" is the husked grain of broomcorn millet, slightly larger than foxtail millet, yellow in color, and very sticky when cooked. In certain regions of China, matang candy is offered to the Kitchen God on the thirteenth of the twelfth lunar month, and glutinous millet dumplings with dates are eaten at the Dragon Boat Festival. In some northern areas, the period right after the Dragon Boat Festival is exactly when old grain runs out and new grain has not yet ripened — a very hard time for the poor.",Social Military Politics,
ZH_0078,B,不怕人多心不齐，只要有人扛大旗,ZH,只要有威信高的人领导，大家就会积极地同心协力,"As long as someone with high prestige takes the lead, everyone will unite and work together with enthusiasm.",Social Military Politics,
ZH_0079,B,不怕人心似铁，难逃王法如炉,ZH,比喻人的意志即使如钢铁一般坚强，也难逃如炉火一样的刑法。古时指人终将受制于王法。,"No matter how iron-strong a person's will may be, they cannot escape the law, which burns like a furnace. In ancient times, this meant that everyone would ultimately be subject to the rule of law.",Social Military Politics,
ZH_0080,B,不入地狱，不知饿鬼变相,ZH,地狱：佛教认为人死后灵魂受难的地方。饿鬼：佛教认为人生前不干好事，死后要堕入饿鬼道，饱受饥饿的痛苦。常用来比喻如果不深人对方内部，就不了解对方的底细。,"""Hell"" is the place where the souls of the dead suffer, according to Buddhism. ""Hungry ghosts"" are those who, having done no good in life, fall into the Realm of Hungry Ghosts after death and endure the agony of starvation. This is commonly used to mean that without going deep inside a situation, one cannot understand the other party's true nature.",Social Military Politics,
ZH_0081,B,不施万丈深潭计，怎得鳌鱼上钓钩,ZH,鳌：传说中海中的大龟或大鳖。说明没有高深的计谋就不能使有本事的人上当受骗。,"""Ao"" refers to a legendary giant sea turtle or tortoise. Without a truly profound and cunning scheme, one cannot trick a formidable and capable person into falling for it.",Social Military Politics,
ZH_0082,B,不图锅巴吃，不在锅边转,ZH,要是不想吃锅巴，就不用在锅旁边站着了。比喻由于有所目的而采取行动。也比喻为了获得利益，不得不去干这些事情。,"If you do not want the crispy rice stuck to the bottom of the pot, you would not stand around the pot. People take action because they have a purpose. It also means that to obtain a benefit, one has no choice but to do certain things.",Social Military Politics,
ZH_0083,B,不行万里路，难见痴人心,ZH,意思是要经过长时间的考验，才能真正了解一个人。,Only through long trials and shared experiences can one truly come to know another person's heart.,Social Military Politics,
ZH_0084,B,不义之饵，鳌将吐之,ZH,饵：钓饵，引诱鱼上钩的食物。鳌：传说中海里的大鳖。意思如果钓饵来之不义，即使鳌吞下去了，也会重新吐出来。比喻不守信义的事物，人们都会嫌弃。,"""Bait"" refers to the lure used to hook fish. ""Ao"" is the legendary giant sea turtle. If the bait is obtained through unjust means, even the great sea turtle will spit it out after swallowing it. Things tainted by dishonesty and bad faith will be rejected by everyone.",Social Military Politics,
ZH_0085,B,不用霹雳手段，显不出菩萨心肠,ZH,霹雳：云和地面之间发生的一种强烈雷电现象，响声巨大。比喻手段不强硬，好心肠就显不出来。又喻指恩威并济，才能达到预料目标。,"""Thunderbolt"" refers to a violent lightning discharge between cloud and ground with a tremendous crash. Without stern and forceful measures, one's good intentions cannot be made apparent. It also means that only by combining severity with benevolence can one achieve the desired outcome.",Social Military Politics,
ZH_0086,B,不知道他葫芦里卖的什么药,ZH,葫芦：古时用来装盛中药的一种器皿，又称药葫芦。指不了解对方的企图。,"A ""gourd"" was a vessel used in ancient times to store herbal medicine, also called a medicine gourd. This means one does not understand what the other party is scheming.",Social Military Politics,
ZH_0087,C,参谋一群，当家一人,ZH,尽管出谋划策的人非常多，但最终做决定的人只有一个。,"Although many people may offer advice and strategies, ultimately only one person makes the final decision.",Social Military Politics,
ZH_0088,C,苍天有眼,ZH,指上天能明察善与恶，给予公平合理的奖惩。,Heaven can clearly distinguish good from evil and will bestow fair rewards and punishments accordingly.,Social Military Politics,
ZH_0089,C,草锄不尽，终究是庄稼的害,ZH,喻指不彻底铲除恶人，最终还是会给社会带来祸害。,"If evildoers are not thoroughly uprooted, they will ultimately continue to bring harm to society.",Social Military Politics,
ZH_0090,C,察见渊鱼者不祥，智料隐匿者有殃,ZH,察：明察，看得清楚。渊鱼：深潭中的游鱼。隐匿：隐蔽不为人所知的事。指能看清深水中游鱼的人不会有好运，能预知他人秘密的人定会招来灾难。比喻人过于聪明反受其害。,"""Cha"" means to see clearly. ""Yuanyu"" means fish in a deep pool. ""Yinni"" means hidden, unknown matters. A person who can see the fish swimming in the depths will not have good fortune; one who can divine others' secrets will surely invite disaster. Being excessively clever brings harm upon oneself.",Social Military Politics,
ZH_0091,C,柴多火焰高，人多声音大,ZH,意思是人多力量大，就像柴多烧起来火焰高一样。,"Strength lies in numbers, just as more firewood makes a higher flame.",Social Military Politics,
ZH_0092,C,豺狼当道，安问狐狸,ZH,豺狼当道时肆无忌惮，没人过问，反而说起狐狸的罪过。比喻除恶要先除大害，除要害。,"When jackals and wolves run rampant with impunity and no one holds them accountable, people instead point fingers at the fox. When eliminating evil, one must target the greatest threat and the most critical danger first.",Social Military Politics,
ZH_0093,C,谗言误国，淫妇乱家,ZH,谗言会危害国家，淫妇会搅乱家庭。,"Slander can endanger a nation, and a dissolute woman can throw a household into chaos.",Social Military Politics,
ZH_0094,C,谄言害主，直言救国,ZH,奉承话可以祸害国君，耿直的话才能让国家昌盛。,"Flattering words can harm the ruler, while frank and honest speech can save the nation and make it prosper.",Social Military Politics,
ZH_0095,C,铲尽不平天下平,ZH,指铲除所有的邪恶不公平，国家才能安定太平。,Only when all evil and injustice are completely eradicated can the nation enjoy peace and stability.,Social Military Politics,
ZH_0096,C,长痛不如短痛,ZH,长期被痛苦折磨，还不如一时忍受剧痛彻底解决。也指为了避开长期的麻烦，宁愿忍受眼前一时的痛苦。,"Prolonged suffering is worse than enduring a brief, intense pain that resolves the problem once and for all. To avoid long-term trouble, it is better to bear a short-term hardship now.",Social Military Politics,
ZH_0097,C,长线放远鹞儿,ZH,"鹞：风筝。喻指从长计议,可以取到更大的收获。","""Yao"" means a kite. Taking a long-term approach and being patient can yield far greater gains.",Social Military Politics,
ZH_0098,C,长夜酒能淹社稷,ZH,社稷：古时君主祭祀的土神和谷神，借指国家的政权。帝王荒淫无度，彻夜饮酒，亵渎国政，会导致国家灭亡。,"""Sheji"" refers to the gods of earth and grain worshipped by ancient rulers, and by extension the state and its regime. A ruler who is dissolute and debauched, drinking through the night and neglecting state affairs, will bring about the downfall of the nation.",Social Military Politics,
ZH_0099,C,朝里无人莫做官,ZH,如果自己在朝廷里面没有特殊关系的人，就不要做官。指古时做官，得有靠山。也指朝廷里面如果没有主持正义的人，就不要做官。,"If you have no one with connections or influence at court, do not attempt to become an official. In ancient times, one needed a powerful backer to succeed in officialdom. It also means that if there is no one at court who upholds justice, it is better not to serve.",Social Military Politics,
ZH_0100,C,朝里有人好儆官,ZH,古时指在朝廷里有后台就容易做官。,"In ancient times, having a powerful patron at court made it easy to obtain an official position.",Social Military Politics,
ZH_0101,C,朝廷也不使饿兵,ZH,使：使用，差遣。皇帝也不差遣没吃饱的士兵去作战。指托人办事之前得先让他吃好饭或说好报酬。,"""Shi"" means to use or dispatch. Even the emperor does not send hungry soldiers into battle. Before asking someone to do a task, one should first ensure they are properly fed or that compensation has been agreed upon.",Social Military Politics,
ZH_0102,C,朝有奸逆，山隐草寇；国有良臣；外有忠善,ZH,指朝内奸逆当权，英雄豪杰就只能隐居野外；国家有忠良的大臣，百姓就会忠于朝廷，安分守己。古时指社会的安定与朝廷大臣是否清廉有直接关系。,"When treacherous officials hold power at court, heroes and capable people can only retreat and hide in the countryside; when the state has loyal and virtuous ministers, the common people will be faithful and law-abiding. In ancient times, social stability was directly linked to the integrity of court officials.",Social Military Politics,
ZH_0103,C,炒豆大伙吃，炸锅一人担,ZH,比喻有利益大家共同分享，有问题一个人承担。也就是说，有好处应当一起分享，遇到不好的事应当由一人承担。,"When there are benefits, everyone shares them together; when problems arise, one person bears the burden alone. In other words, good fortune should be shared, while misfortune should be shouldered by an individual.",Social Military Politics,
ZH_0104,C,车到山前必有路，船遇顶风也能开,ZH,比喻事到临头自会有办法能够解决。也比喻只要奋勇前进，任何困难都能克服。常用来鼓励困难当前要坚定信心。,"When the moment arrives, a solution will naturally present itself. As long as one presses forward bravely, any difficulty can be overcome. This is often used to encourage people to stay confident in the face of adversity.",Social Military Politics,
ZH_0105,C,车到山前必有路，船到桥头自然直,ZH,比喻事到临头，总会有办法解决问题。,"When the moment comes, there will always be a way to solve the problem.",Social Military Politics,
ZH_0106,C,尘世难逢笑口开,ZH,尘世：佛教，道教指人世间。佛教中指人世间几乎没有使人开心的事情,"""The mortal world"" is a term used in Buddhism and Taoism to refer to the human realm. In Buddhist thought, there are hardly any occasions for genuine happiness in the human world.",Social Military Politics,
ZH_0107,C,称一称知轻重，量一量知短长,ZH,指只有经过实践的检验，才可以对事情作出判别。,Only through the test of practice can one properly judge a matter.,Social Military Politics,
